###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57313.631326 -19.999  0.561   -36   20 c  0   0.86 119.85423  16.42628  9626.28  7298.66 4.54 3.74  84.2 -0.432 19.27 21.10 02a57313o0537c
57313.649424 -20.781  5.455   -18   96 c  0   1.47 119.85423  16.42628  9622.54  7305.21 4.36 3.52  83.4 -0.477 18.22 18.96 02a57313o0563c
57319.564690 -20.239  1.032   -29   30 o  0   1.38 119.85423  16.42628  9582.84  7293.02 4.41 3.30  87.6 -0.503 18.83 20.31 02a57319o0561o
57319.585243  22.784 10.667     3   30 o  0   1.16 119.85423  16.42628  9578.89  7297.99 4.43 3.29  87.1 -0.502 18.98 20.56 02a57319o0589o
57319.646795 -19.764  0.857   -45   39 o  0   0.67 119.85423  16.42628  1333.06  5825.42 4.53 3.24 -58.6 -0.445 18.72 20.07 02a57319o0670o
57342.552309 -20.401  0.579   -25   14 c  0   1.15 119.85423  16.42628  9636.38  7339.82 3.87 3.46  85.3 -0.427 19.50 21.34 02a57342o0457c
57342.584187 -20.536  0.758   -22   17 c  0   0.81 119.85423  16.42628  9634.40  7349.67 3.92 3.58  84.4 -0.416 19.46 21.28 02a57342o0504c
57342.624825 -21.750  2.778    -7   20 c  0   0.81 119.85423  16.42628  1394.49  5868.93 4.31 3.81 -54.2 -0.404 19.38 21.16 02a57342o0564c
57342.661335 -18.362  0.563  -164   92 c  0   0.97 119.85423  16.42628  9374.57  4841.61 3.85 3.47  82.4 -0.431 17.85 18.13 02a57342o0616c
57362.517376  20.436  0.857    24   21 o  0   1.10 119.85423  16.42628  9397.57  7652.14 3.68 3.18  85.0 -0.467 19.21 20.86 02a57362o0460o
57362.547392 -20.048  0.588   -35   20 o  0   1.11 119.85423  16.42628  9107.95  7070.53 3.63 3.18  85.7 -0.469 19.17 20.75 02a57362o0501o
57362.557345  19.818  0.525    43   23 o  0   1.00 119.85423  16.42628  9996.49  8232.98 3.80 3.32  87.6 -0.444 19.15 20.73 02a57362o0515o
57362.570887  20.326  0.828    27   22 o  0   1.30 119.85423  16.42628   708.26  4020.87 4.50 3.50 -44.9 -0.443 19.15 20.66 02a57362o0536o
57362.573215  21.231  2.286    12   27 o  0   0.87 119.85423  16.42628   249.57  8188.58 4.20 3.53 -66.7 -0.441 19.12 20.65 02a57362o0538o
57362.585842 -20.319  0.838   -27   23 o  0   1.17 119.85423  16.42628 10455.54  4056.30 3.77 3.24  75.2 -0.480 19.11 20.63 02a57362o0556o
