uuid,distance_mpc
1234146790012103200,98.16 
1000349201072800300,75.87 
1100642631511623200,70.54 
1235621871322723700,40.55 
1072737351353630000,69.37 
1084941070080531400,58.00 
1023623711314234200,73.81 
1000350600112828900,75.08 
1020107641315320900,75.13 
1020014841312508700,72.57 
1003029320084648500,78.03 
1214820100345709100,70.03 
1220032930271329300,91.39 
1154724911684711600,51.87 
1050843961702832400,70.08 
1023602431432819600,30.14 
1112330531632159600,41.96 
1010733071322429400,73.78 
1020017441312627000,72.57 
1103614180082025500,72.96 
1051920320173642600,86.97 
1040902130010936200,72.61 
1043950671070357800,67.85 
1081543370285120000,24.35 
1090801701271504800,92.42 
1192948941354050300,66.67 
1210538951112431200,70.60 
1221615881400336200,64.98 
1112906491085918700,89.77 
1235800490413201000,102.22 
1214422890295459100,81.42 
1020933031211458800,74.34 
1071041041062743000,52.04 
1044624411635108400,58.31 
1064747161312012900,74.62 
1114249621772213000,24.19 
1121803370010304300,82.72 
1024340570241151800,108.08 
1050320151182703200,72.43 
1121226861290857200,58.39 
1033120631040754400,86.97 
1140623241504319500,26.64 
1111044381045048700,84.02 
1131312190193114900,40.52 
1224158591201613500,106.28 
1051149661672913400,88.73 
1133936230112855900,33.25 
1153632701163620000,28.10 
1202849780042257300,12.88 
1133312190160704800,88.99 
1120715621671348500,38.45 
1192130931610851100,31.45 
1074703021264626300,103.04 
1060856800274743800,43.63 
1081331191712545300,93.60 
1131955320471705300,41.27 
1135826240343057800,73.39 
1070255501624620700,65.73 
1004805400024722800,58.38 
1033312741361122700,65.22 
1032246961000853400,100.46 
1122937951074936200,33.65 
1231445091043151200,38.68 
1152251630050000500,103.20 
1104021300462510500,104.34 
1133521180341227000,103.42 
1002213891102926200,77.92 
1134243900242009500,98.01 
1101348261384546700,101.63 
1134840711432506200,33.60 
1134817701035644900,16.78 
1110045381221715000,99.86 
1065406001083421900,37.75 
1075925011162534600,70.72 
1145520161163023800,91.59 
1145709501194159500,67.79 
1082409391571713000,114.76 
1140320980003254500,107.66 
1113113331341203500,91.59 
1062703680253825600,105.69 
1100323240261056500,5.76 
1143319951411602300,78.77 
1091455321465409200,61.71 
1150925521252818000,96.10 
1161500801310419300,98.47 
1083631420114940800,85.56 
1162307871391853900,74.18 
1121038221392347800,14.25 
1115101800284438600,24.96 
1124505270440020600,70.48 
1120526661201756700,106.72 
1104825400250936200,54.09 
1133352550374358900,107.29 
1033354961680653800,19.67 
1211019000293121000,80.43 
1114107741244910900,51.92 
1104536600230010400,37.13 
1140204160253941300,89.89 
1175740241500219100,73.76 
1071755931405907900,99.90 
1225654560372022300,25.72 
1130314801074809500,42.10 
1170305900104432200,106.07 
1153201521681431000,95.00 
1110415981500150000,104.21 
1123544330001315600,100.10 
1114544840114716400,74.79 
1125119891211350200,101.23 
1145423731731041800,100.25 
1101028221021348900,94.42 
1142830861370404700,108.35 
1183713091365605600,86.97 
1142043431134142600,88.47 
1141418251104039600,105.44 
1001401730231135600,6.68 
1134118790042046100,97.39 
1183057301295247300,68.54 
1005105230070347500,25.02 
1120332300433916600,66.50 
1001326461172919700,72.41 
1153844880031634600,104.86 
1013853340423522300,90.44 
1233931170030853900,103.63 
1220537381445016300,76.09 
1165904941471410800,105.42 
1161600211221604900,60.81 
1135740891173029100,96.32 
1094021370065921300,91.39 
1181732171192641200,42.48 
1162423130341508400,76.45 
1134847801062119300,98.36 
1012551870012203900,78.54 
1123522981292932700,66.10 
1194134831033928500,106.70 
1125909251371858400,67.44 
1184614461355807300,104.68 
1013027180264705600,86.09 
1124243881340626300,60.82 
1153408531564148700,49.17 
1132530920142117500,97.54 
